Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-09-20,144.93,145.88,144.42,145.88,5447499.0,0.0,1.0,126.24151029179157,127.06900932427071,125.79727396909223,127.06900932427071,5447499.0
2017-09-19,144.79,144.98,144.22,144.39,3464383.0,0.0,1.0,126.11956306595252,126.28506287244835,125.62306364646504,125.77114242069814,3464383.0
2017-09-18,144.81,145.4799,144.27,144.55,3019514.0,0.0,1.0,126.13698409821525,126.720501573855,125.66661622712185,125.91051067879992,3019514.0
2017-09-15,144.82,145.17,144.08,144.82,7397233.0,0.0,1.0,126.14569461434661,126.45056267894418,125.50111642062603,126.14569461434661,7397233.0
2017-09-14,145.86,146.38,145.51,145.54,3756699.0,0.0,1.0,127.051588292008,127.50453513083868,126.7467202274104,126.77285177580448,3756699.0
2017-09-13,145.35,146.29,145.34,145.99,4100980.0,0.0,1.0,126.60735196930865,127.42614048565643,126.59864145317731,127.16482500171567,4100980.0
2017-09-12,145.11,146.37,144.51,145.76,5237848.0,0.0,1.0,126.39829958215604,127.49582461470732,125.87566861427446,126.96448313069439,5237848.0
2017-09-11,143.54,145.13,143.01,144.86,4613381.0,0.0,1.0,125.0307485495326,126.41572061441875,124.56909119457056,126.18053667887206,4613381.0
2017-09-08,143.15,143.15,141.64,142.45,3366169.0,0.0,1.0,124.6910384204096,124.6910384204096,123.37575048457431,124.08130229121443,3366169.0
2017-09-07,144.1,144.64,142.41,142.9,4188154.0,0.0,1.0,125.51853745288874,125.98890532398212,124.04646022668899,124.47327551712561,4188154.0
2017-09-06,143.88,144.47,143.5,143.82,3273344.0,0.0,1.0,125.32690609799883,125.84082654974904,124.99590648500717,125.27464300121066,3273344.0
2017-09-05,143.5,144.3575,142.7,143.04,3098735.0,0.0,1.0,124.99590648500717,125.74283324327124,124.29906519449841,124.59522274296464,3098735.0
2017-09-01,142.98,144.5,142.98,144.08,3351733.0,0.0,1.0,124.54295964617647,125.86695809814312,124.54295964617647,125.50111642062603,3351733.0
2017-08-31,143.02,143.66,142.63,143.03,3656428.0,0.0,1.0,124.57780171070193,125.13527474310892,124.2380915815789,124.58651222683328,3656428.0
2017-08-30,143.26,143.28,142.41,142.56,2735966.0,0.0,1.0,124.78685409785454,124.80427513011726,124.04646022668899,124.17711796865939,2735966.0
2017-08-29,142.1,143.425,141.9,143.14,3008020.0,0.0,1.0,123.77643422661686,124.93057761402198,123.60222390398968,124.68232790427822,3008020.0
